Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D
Luk	8	18	After Jesus rebuked the wind and the waters, and the storm calmed, what did He ask His disciples?	25	C	Am I not the Lord, your God?	Do not the winds and the waves obey Me?	Where is your faith?	Why do you fear, my children?
Luk	8	19	Where was the country of the Gerasenes located?	26	A	Opposite Galilee	Opposite Judea	On the shores of the Red Sea	On the shores of the Dead Sea
Luk	8	20	Where did Jesus meet the demon-possessed man?	26-27	B	Decapolis	Gerasenes	Judea	Galilee
Luk	8	21	For how long had the man been demon-possessed at the time he met Jesus?	27	C	seven years	fourteen years	a long time	Text doesn’t say
Luk	8	22	Where had the demon-possessed man been living?	27	B	In a house	Among the tombs	With his friends	In the desert
Luk	8	23	In Luke 8, who had been kept under guard and bound with chains and shackles?	29-30	A	Legion	Peter	James	Jairus
Luk	8	24	Jesus cast out the demons of the madman into what?	32	D	Dogs	Cattle	Sheep	Pigs
Luk	8	25	What was the name of the synagogue leader whose 12-year-old daughter was dying?	41	C	Legion	Peter	Jairus	James
Luk	8	26	What was wrong with the woman who touched the edge of Jesus’ cloak?	43	B	She had a skin disease	She had a discharge of blood	Her daughter was sick	She was demon possessed
Luk	8	27	How long had the woman had this disease?	43	A	Twelve years	Seven years	Ten years	Five years
Luk	8	28	What negative effect did the woman with the discharge of blood suffer because of her condition?	43	C	She lost all her friends	Her husband left her	She spent all her living on physicians	She was too weak to care for her family
Luk	8	29	Where was the woman with the discharge of blood standing when she touched Jesus?	44	B	On the right side of Jesus	Behind Jesus	Far from Jesus	In front of Jesus
Luk	8	30	What went out of Jesus when the woman touched His cloak?	46	D	Warmth	Anger	Love	Power
Luk	8	31	Who was the first to respond when Jesus asked for the person who touched Him?	45	C	Andrew	John	Peter	James
Luk	8	32	What did Jesus say caused the woman to be instantly healed when she touched Him?	48	A	Her faith	Her prayers	Her boldness	His presence
Luk	8	33	About whom did Jesus say, “She is not dead, but asleep?”	42	B	Jairus’ wife	Jairus’ daughter	The woman who had been bleeding	Jesus did not say this
Luk	8	34	Who did Jesus want the girls’ parents to tell that Jesus brought her back to life?	56	D	Their family	Their village	Everyone	No one
Luk	9	1	To whom did Jesus give all power and authority to drive out demons and cure diseases?	1	C	The Seventy-Two	Anyone could do it	The Twelve	No one else
Luk	9	2	What did Jesus make His disciples do after empowering them?	2	B	He sent them to lay hands on the sick.	He sent them to proclaim the kingdom of God& heal.	He sent them to go to River Jordan to baptize.	He sent them to teach in the synagogues.
Luk	9	3	What did Jesus tell the apostles to take with them on their journey?	3	D	A staff and a bag	A sword	Bread and money	Nothing
Luk	9	4	What was Herod the tetrarch's mood when he heard about the works of Jesus?	7	C	He was downcast.	He was afraid.	He was perplexed.	He was unhappy.
Luk	9	5	Where did Jesus miraculously feed five thousand people?	10	D	On the mountains of Decapolis	On the plains of Gadarenes	On the desert of Bethphage	On the desert of Bethsaida
Luk	9	6	How did Jesus respond to the crowds who followed Him and the twelve when they withdrew to Bethsaida?	11	A	He spoke to them and healed them	He put them into a deep sleep	He asked them to give them privacy	He asked who among them was greatest
Luk	9	7	For what reason did the twelve suggest that Jesus should send the crowd away?	12	D	So the people could go home	So the apostles could pray alone	So Jesus could sleep	So the people could find food and lodging
Luk	9	8	How many loaves did the apostles tell Jesus they had to feed the crowd?	13	B	2	5	3	7
Luk	9	9	How many fish did the apostles tell Jesus they had to feed the crowd?	13	A	2	5	3	7
Luk	9	10	Approximately how many men were in the crowd to be fed?	14	C	2,000	7,000	5,000	12,000
Luk	9	11	How many baskets full of leftover food were picked up after the apostles fed the crowd?	17	B	Five	Twelve	Seven	Twenty
Luk	9	12	Who answered when Jesus asked His disciples, "But who do you say that I am?"?	20	A	Peter	John	James	Philip
Luk	9	13	What was the disciples' reply to Jesus about His identity?	20	D	You are a good man	You are a Galilean	You are a teacher	The Christ of God
Luk	9	14	What warning did Jesus give the disciples about their knowledge that He was to be rejected, killed and on the third day raised to life?	21-22	C	That they must proclaim it to all	That it might not be true	That they should not tell anyone	He gave them no warnings about it
Luk	9	15	Who did Jesus say had to deny themselves, take up their cross daily, and follow Him?	23	D	Anyone who is sick	Anyone with demons	Anyone with leprosy	Anyone who would come after Him
Luk	9	16	Whom will Jesus be ashamed of when He comes again in glory?	26	D	Those who love to show off	Those who are shy	Those who miss assembling	Those who are ashamed of Him and His words
Luk	9	17	Who accompanied Jesus to the mountain when the transfiguration occurred?	28	D	Peter	John	James	All of the above
Luk	9	18	During the transfiguration, Jesus' clothes changed and became   ____________?	29	C	White and transparent	Red like blood	Dazzling white	Black as soot
Luk	9	19	Which two prophets of old talked with Jesus during the transfiguration?	30	A	Moses and Elijah	Moses and Abraham	Elisha and Moses	Abraham and Isaac
Luk	9	20	What did the two prophets speak to Jesus about at the transfiguration?	31	B	His miracles	His departure	Judas’ betrayal	All of the above
Luk	9	21	Who suggested they should build three tents for Jesus and the two prophets?	33	C	James	John	Peter	All of the above
Luk	9	22	Where did the voice come from that said, “This is my Son, my Chosen One, listen to Him.”?	35	A	a cloud	a dove	an angel	a rock
Luk	9	23	What did Jesus call this generation?	41	D	Faithful	Faithless	Twisted	B & C
Luk	9	24	What was wrong with the boy Jesus healed in Luke 9?	39	D	Blindness	Deafness	Lame	A Spirit seizes him
Luk	9	25	Who said He saw a man casting out demons in the name of Jesus yet he was not one of the twelve?	49	C	Thomas	Simon	John	Mark
Luk	9	26	How did Jesus respond about the non-disciple driving out demons in Jesus’ name?	50	C	Stop him!	Bring him here.	Do not stop him!	A & B
Luk	9	27	Why did Jesus send some messengers to a Samaritan village?	52	D	To preach about God's kingdom	To buy food for the multitudes	Text doesn’t say	To make preparations for Him
Luk	9	28	According to Luke, a certain Samaritan village did not receive Jesus. Why?	53	B	They did not welcome Jesus because He was a Jew.	They did not welcome Jesus because He was on his way to Jerusalem.	They did not welcome Jesus because they did not believe He was the Messiah.	They did not welcome Jesus because they did not know Him well.
Luk	9	29	Which of Jesus' disciples wanted fire to come down on the village that did not welcome Jesus?	54	A	James and John	Judas Iscariot and Judas	Peter and Andrew	Philip and Thomas
Luk	9	30	According to Luke 9, which man of God commanded fire from above to consume people?	54	B	Jeremiah	Elijah	Moses	Samuel
Luk	9	31	What answer did Jesus give those disciples who wanted fire to be sent upon the Samaritan village that didn’t welcome Jesus?	55	A	He said, "... the Son of man came not to destroy people’s lives but to save them."	He said, "The Son of man came to redeem man, but not with fire."	He said, "God will have His vengeance."	He said, "... they are of the seed of Abraham."
Luk	9	32	To what excuse did Jesus respond with, “No one who puts a hand to the plow and looks back is fit for service in the kingdom of God?”	59-61	D	“Let me first go and bury my father”	“Let me first say farewell to those at my home”	“Let me get my bags”	A & B
Luk	10	1	How many were sent out in Luke 10?	1	C	12	24	72	120
Luk	10	2	What did Jesus do with the seventy disciples He appointed?	1	B	He sent them to buy bread for the multitudes	He sent them to preach in every town and place where He would be going.	He sent them to the synagogues to read the scriptures.	He sent them to the temple to preach.
Luk	10	3	When Jesus sent out the disciples, in which manner did He send them out?	1	A	Two by two	In groups of three	In groups of four	In groups of six
Luk	10	4	Which of the following did Jesus say to the people He sent out in Luke 10?	2	C	Whoever is not for you is against you	Man shall not live by bread alone	The harvest is plentiful but the laborers are few	Make haste!
Luk	10	5	Since the harvest is plentiful and the laborers are few, who should we pray to for more laborers to the harvesting field?	2	D	The holy one	The saints	The Lord of host	The Lord of the harvest
Luk	10	6	Jesus said He was sending them out as _________?	3	B	Kittens	Lambs	Lions	Bears
Luk	10	7	Who would they be sent in the midst of?	3	A	Wolves	Dogs	Tigers	Penguins
Luk	10	8	What did Jesus forbid the disciples to take on their mission?	4	C	Scroll, water, and bread	Staff and water	Moneybag, knapsack, or  sandals	Scroll, staff, and food
Luk	10	9	What were they forbidden to do along the road?	4	B	Step on cracks	Greet no one	Tell who sent them	Eat a meal
Luk	10	10	What were they taught to do when they enter a house?	5	A	Say, "Peace be to this house."	Stand at the doorway for a while.	Shake the dust off their feet	Pray for the owner twice before entering
Luk	10	11	Why were those who were sent out to eat whatever they were given?	7	B	So their hosts would not be offended	Because laborer deserves their wages	So they would not grow weak	To prepare their bodies for days of famine
Luk	10	12	What were those sent out to say when they healed the sick?	9	C	Be blessed	I heal in the name of the Christ	The kingdom of God has come near to you	Peace be with you
Luk	10	13	What were those sent out in Luke 10 supposed to do if they were NOT welcomed in a town?	11	B	Sweep their porches	Wipe the dust off their feet as a warning against them	Sit at the gates with dusty feet	Wash their feet in the river
Luk	10	14	What city will be better off than the city that rejects Jesus’ laborers?	12	C	Gomorrah	Eden	Sodom	Babylon
Luk	10	15	Which two towns did Jesus speak “woes” in Luke 10?	13	A	Chorazin & Bethsaida	Tyre & Sodom	Sodom & Sidon	Capernaum & Hades
Luk	10	16	Jesus warned that anyone who rejects Him, rejects who?	16	B	The Spirit	The One who sent Him	The devil	The Trinity
Luk	10	17	How did the 72 return to Jesus when they realized even demons were subject to them is Jesus’ name?	17	C	Scared	Shocked	Joyful	Angry
Luk	10	18	Who did Christ see fall like lightning from heaven?	18	D	A dove	The Angels	A & B	Satan
Luk	10	19	Over what did Jesus give authority to those He sent out in Luke 10?	19	D	Serpents	Scorpions	All power of the enemy	All of the above
Luk	10	20	What could hurt the seventy-two?	19	A	Nothing	Everything	Greed	Text doesn’t say
Luk	10	21	What did Jesus say was worth more rejoicing than demons being subject to the Seventy- Two?	20	B	They were doing God’s work	Their names are written in heaven	They had special powers	all of the above
Luk	10	22	Who had God hidden His Will from?	21	D	Wise	Understanding	The religious rulers	A & B
Luk	10	23	Whom did Jesus say the Lord revealed His Will to?	21	C	Kids in Bible Bowl	Teenagers	Little children	All of the above
Luk	10	24	According to Luke 10, what was the profession of the man who tempted Jesus with a question?	25	B	Scribe	Lawyer	Physician	Tax collector
Luk	10	25	Why did a lawyer ask Jesus what he must do to inherit eternal life?	25	D	To incriminate Him	To show off his knowledge	To mock Him	To test Him
Luk	10	26	How does Jesus answer the lawyer?	26	D	What is written in the law?	How do you read it?	Do what makes you happy.	A & B
Luk	10	27	Why did the lawyer ask Jesus, “Who is my neighbor?”	29	C	To prove his own wisdom	To impress others with his personal wisdom	To justify himself	To cause trouble for Jesus
Luk	10	28	Who attacked the man going to Jericho, beat and left the man half dead?	30	A	Robbers	A Levite	Bad guys	A Samaritan
Luk	10	29	The man who was beaten was traveling FROM what city?	30	D	Samaria	Bethlehem	Galilee	Jerusalem
Luk	10	30	Who was the first traveler to see the beaten man on the road?	31	C	A widow	A leper	A priest	A Scribe
Luk	10	31	Who was the second traveler to see the beaten man on the road?	32	B	A leper	A Levite	A Pharisee	A widow
Luk	10	32	Who, after seeing the beaten man, passed on the other side of the road?	31-32	D	A priest	A Scribe	A Levite	A & C
Luk	10	33	Who had compassion for the beaten man?	33	C	A priest	A Levite	A Samaritan	A widow
Luk	10	34	What did the Samaritan do for the injured man?	33-34	D	Bound up his wounds	Took care of him	Let him ride on his animal	All of the above
Luk	10	35	How much money did the Samaritan give the innkeeper to take care of the injured man?	35	D	Four talents	Two days' wages for a laborer	Two denarii	B & C
Luk	10	36	Who did the lawyer say proved to be a neighbor to the man who fell among robbers?	36-37	A	“The one who showed him mercy”	“All of them”	“The priest and Levite”	“I don’t know”
Luk	10	37	What was the name of the woman who received Jesus in her house when He visited her village?	38	C	Naomi	Mary Magdalene	Martha	Suzana
Luk	10	38	What was the name of the woman’s sister?	39	A	Mary	Naomi	Suzana	Ruthie
Luk	10	39	Who did Jesus say had chosen what was better?	42	A	Mary	Mary Magdaline	Martha	The Samaritan woman
Luk	11	1	According to the disciples, who had taught his disciples how to pray?	1	D	Elijah	James	Peter	John (the Baptist)
Luk	11	2	Who does Jesus address in His prayer?	2	B	The Holy Spirit	Father	Prophets	Mary
Luk	11	3	In Jesus’ prayer, how did He describe the Father’s name?	2	A	Hallowed	Precious	Sacred	Honored
Luk	11	4	In Jesus’ prayer, what may we ask from the Father?	3-4	D	Our daily bread	Lead us not into temptation	For forgiveness of our sins	All of the above
Luk	11	5	In Jesus’ story, what time of day does a friend go to the man?	5	C	Morning	Noon	Midnight	Sunset
Luk	11	6	In Jesus’ story, how many loaves of bread does the friend request?	5	B	One	Three	Two	Text doesn’t say
Luk	11	7	In Jesus’ story, why does the friend need to borrow bread?	6	A	A friend has arrived on a journey	His wife’s mother is visiting	His children are hungry	He needs a midnight snack
Luk	11	8	In Jesus’ story, why does the man initially refuse to give the friend anything?	7	D	His door was shut	His children were in bed	His wife said, “No!”	A & B
Luk	11	9	Why will the man in Jesus’ story get up and grant his friend’s request?	8	C	Because he owes the friend a favor	To make the friend go away	Because of his impudence	Because he has too much bread
Luk	11	10	What is another word for impudence?	8	B	Politeness	Persistence	Diplomacy	Disrespect
Luk	11	11	Jesus tells a story that if a son asks for a fish, what will the father not give him?	11	A	Serpent	Egg	Scorpion	All of the above
Luk	11	12	According to Luke 11:13, what will the Father in heaven give to those who ask Him?	13	B	Good and perfect gifts	The Holy Spirit	Peace that passes understanding	A scorpion
Luk	11	13	Though some witnessed Jesus cast out a demon and were amazed, what did others think?	15	C	He was demon-possessed Himself	He was crazy	He cast them out by Beelzebul	He was a magician
Luk	11	14	What did Jesus say would happen to a kingdom divided against itself?	17	D	A divided kingdom is laid to waste	A divided household falls	It would become powerful	A & B
Luk	11	15	How does a strong man think he can keep his possessions safe?	21	A	Being fully armed and guarding his palace	Praying to the Lord	Hiring thugs	Joining a neighborhood watch group
Luk	11	16	Why would an unclean spirit want to return to its formal house after having been cast out?	24	C	If he has left something at his former place.	If he loses his way to the realms of the spirit.	If he does not find any place of rest.	If it is more comfortable.
Luk	11	17	When an unclean spirit returns to a clean and orderly house, what does it take along with it?	26	B	Luggage	Seven more evil spirits	Food and water	Three more evil spirits
Luk	11	18	In chapter 11, who does Jesus tell the woman in the crowd is blessed?	28	D	Those who hear the Word of God	Mary	Those who keep the Word of God	A & C
Luk	11	19	How did Jesus describe His generation?	29	A	Evil	Greedy	Loving	A & B
Luk	11	20	According to Jesus, who was a sign to the people of Nineveh?	30	C	Their king	The Christ	Jonah	God
Luk	11	21	What had the Queen of the South done?	31	B	Asked for a sign	Listened to Solomon’s wisdom	Married Solomon	Fled from Solomon
Luk	11	22	Why should we put a lamp on a stand?	33	D	So that the fire will not go out.	So that the light will shine.	So that the light will not go off.	So that those who enter may see the light
Luk	11	23	What is the lamp of the body?	34	C	The ear	The mind	The eye	The hands
Luk	11	24	What surprised the Pharisee who invited Jesus to eat with him?	38	C	He was a glutton	He didn’t eat meat	He didn’t wash His hands before the meal	He loved ham
Luk	11	25	What did Jesus call the Pharisees who clean the outside of the cup but inside are full of greed?	39-40	A	Fools	Clowns	Filthy	All of the above
Luk	11	26	Who complained that Jesus was insulting them?	45	B	One of the Pharisees	One of the lawyers	One of the Sadducees	One of the scribes
Luk	11	27	Where was Zechariah killed?	51	A	Between the altar and the sanctuary	By the Ark of the Covenant	Behind the curtain of the Holy of Holies	Text doesn’t say
Luk	12	1	How large was the crowd that had gathered to hear Jesus in the beginning of Luke 12?	1	C	Several hundred	Four thousand	Many thousands	Five thousand
Luk	12	2	What was the leaven of the Pharisees?	1	D	Blasphemy	Lies	Deceit	Hypocrisy
Luk	12	3	Whom did Jesus tell His followers to fear?	5	A	The one who has authority to cast you into hell	People who add to the law	Teachers of the law	Those who kill
Luk	12	4	What is another word for hell?	5	C	Hades	Sheol	Gehenna	Inferno
Luk	12	5	Whom did Jesus teach His followers not to fear?	4	B	The person who forgives sin	The person who can kill only the body	The person who can kill the soul	The person who lies
Luk	12	6	According to Luke 12, five sparrows were sold for how much?	6	D	Two talents	Three shillings	Two pence	Two pennies
Luk	12	7	Whom did Jesus promise to acknowledge before the angels of God?	8	A	Those who shall acknowledge Him before men	Those who watch and pray.	Those who are generous to the needy	Those who are faithful to the faith.
Luk	12	8	Whom shall Jesus deny before the angels of God?	9	B	Those who speak ill of the faith	Those who deny Jesus before men	Those who persecute believers	Those who harbor hatred for others.
Luk	12	9	Which of these sins is unforgivable?	10	B	Denying Jesus	Blasphemes against the Holy Spirit	Cursing God	Apostasy
Luk	12	10	Who did Jesus say would teach the disciples what to say before synagogues, rulers, & authorities?	11-12	D	An angel	He Himself	The Father	The Holy Spirit
Luk	12	11	According to Luke 12, a certain man brought his family issue to Jesus to solve. What was the issue?	13	B	He wanted Jesus to advise his brother against covetousness	He wanted Jesus to talk to his brother to divide an inheritance with him	He brought an issue that his brother bears a grudge against him.	He brought an issue that his wife wants to divorce him.
Luk	12	12	What did the rich man who produced a good crop think his problem was?	17	A	He had no place to store his crops	His grain might sprout	He might become a glutton	The possibility of rain
Luk	12	13	What did the rich man want to do after building bigger barns for his grain?	18-19	A	Relax, eat, drink & be merry	Put his sons in charge	Invite the poor for dinner	Prepare for his next crop
Luk	12	14	What did God do to the rich man who had a good crop?	20	A	Demand his life from him that very night	Blessed him one hundred-fold	Blessed him tenfold	Divided his crop among his sons
Luk	12	15	In storing up things for himself, who was the rich man not rich toward?	21	D	His sons	The Levites	His neighbors	God
Luk	12	16	What Old Testament character did Jesus mention in a comparison with the lillies?	27	A	Solomon	Adam	Abraham	Noah
Luk	12	17	According to Luke 12, what do the nations of the world seek after?	29-30	C	Gold and silver	Peace and harmony	What to eat and drink	Life and eternity
Luk	12	18	Which of the following did Jesus say the people should seek?	31	D	Clothing	Drink	Food	God’s kingdom
Luk	12	19	What will be where your treasure is?	34	C	You family	Your crops	Your heart	Your home
Luk	12	20	According to Luke 12, Jesus taught His disciples to be like what?	36	D	Like lambs in this world	Like people on a journey.	Like sheep	Like men who are waiting for their master
Luk	12	21	What will the master have the men who watch for the master’s return do?	37	D	Call for the bride	Dress him in a robe	Pour the wine	Recline at the table  & serve them
Luk	12	22	What would the owner of the house do if he knew when a thief was coming?	39	C	Hide from the thief	Prepare a meal	Not allow the house to be broken into	Leave his hous
Luk	12	23	When will the Son of Man com?	40	A	At an hour you do not expect Him	At the noontime	Once the people are ready	In the morning
Luk	12	24	What was the wise manager supposed to do for the master’s servants at the proper time?	42	B	Trade them for younger servants	Give them their portion of food	Pay them in cash	Free them
Luk	12	25	What will the master do for the servant who is doing his job when the master returns?	44	A	Set him over all his possessions	Give him double wages	Permit him to retire	Give him a purple robe
Luk	12	26	According to Jesus' parable in Luke 12, which servant deserves a severe beating?	47	C	The servant who has abandoned his duties.	The servant who does not know his master's will.	The servant who knows his master's will and does not do it	The servant who spends his time drinking.
Luk	12	27	What is said of everyone who was given much?	48	B	They must tithe	Much will be required	They must be generous	Little will be demanded of them
Luk	12	28	What did Jesus say that He had come to cast what on the earth in Luke 12?	49	C	War	Peace	Fire	Love
Luk	12	29	Which of the following are examples of divisions Jesus said He would cause?	53	D	Mother against daughter	Father against son	Mother-in-law vs. daughter-in-law	All of the above
Luk	12	30	What do the people speculate when the cloud rises out of the west?	54	A	Speculate that a shower is coming	Speculate that it is going to be a long night	Speculate that the weather will be cool	speculate that the weather will be hot
Luk	12	31	What do the people speculate when they see the south wind blow?	55	D	Speculate that rain is coming	Speculate that it is going to be a long night	Speculate that the weather will be cool	Speculate that their will be scorching heat
Luk	12	32	When traveling to the magistrate, what should one do with his accuser?	58	D	Argue	Offer a bribe	Pray	Make an effort to settle with him
Luk	13	1	Whose blood did Pilate mingle with sacrifices, according to stories some people told Jesus?	1	B	Jews he had crucified	Galilean’s	Victims of the fallen tower of Siloam	John the Baptist
Luk	13	2	What did Jesus say would happen to those who did not repent?	3	A	They would all perish	They would fo to Purgatory	They would be given a second chance	They would one day pray for atonement
Luk	13	3	How many people were killed when the tower in Siloam fell?	4	B	7 people	18 people	3 people	20 people
Luk	13	4	What kind of tree, planted in a vineyard, bore no fruit in the parable in Luke 13?	6	D	Plum	Olive	Mustard	Fig
Luk	13	5	According to the parable of the barren fig tree, for how long did the man of the vineyard come expecting fruit from the fig tree?	7	C	7 years	5 years	3 years	1 year
Luk	13	6	Why did the man want to cut down his tree that did not bear fruit?	7	A	So it wouldn’t use up the ground	To use it for firewood	So it wouldn’t use up the water	The Bible does not say
Luk	13	7	According to the parable of the barren fig tree, how much extra time was given to the fig tree to produce fruit?	8	A	A year	3 years	2 years	7 years
Luk	13	8	According to the parable of the barren fig tree, what will be done to the fig tree if it fails to bear fruit after the extra time?	9	D	It shall be trimmed.	It shall be pruned.	It shall be nourished with fertilizer.	It will be cut down.
Luk	13	9	What was wrong with the woman in Luke 13 who was in the synagogue when Jesus taught on the Sabbath?	11	C	She had an issue of blood	Blindness	She was bent & could not straighten up	Leprosy
Luk	13	10	How long had the woman who was bent over been in that situation before Jesus healed her?	11	D	10 years	7 years	12 years	18 years
Luk	13	11	On which day did Jesus heal the woman who had a disabling spirit?	14	B	The first day of the week	The Sabbath day	The day of Pentecost	The last day of the week
Luk	13	12	At which place did Jesus heal the woman who was bent over?	14	D	At the Sea of Galilee	In the Temple of Jerusalem	In the tabernacle	In the synagogue
Luk	13	13	Why did the ruler of the Synagogue react with indignation when Jesus healed the woman who was bent over?	14	A	It was because Jesus healed her on the Sabbath day	It was because Jesus healed her in the Temple of Jerusalem	It was because Jesus healed her in the synagogue.	It was because Jesus healed her on the day of Pentecost.
Luk	13	14	How did Jesus’ adversaries feel after He explained why He healed the woman on the Sabbath?	17	D	Delighted	Furious	Awestruck	Put to shame
Luk	13	15	Which of the following did Jesus compare the kingdom of God in Luke 13?	18-21	A	A mustard seed and leaven	Lilies and birds	A mustard see and lilies	Lilies and leaven
Luk	13	16	What did Jesus do as He journeyed to Jerusalem?	22	C	Wept	Sang	Taught	Fasted
Luk	13	17	Through what did Jesus say people should make every effort to enter?	24	A	The narrow door	The narrow tunnel	The wide gate	The wide door
Luk	13	18	How does Jesus describe the number who will try but be unable to enter?	24	C	Some	Few	Many	All
Luk	13	19	Who does Luke 13 say will take the places of those thrown out of the feast in the kingdom of God?	29	A	People from the north, south, east, & west	People who are married	People from the highlands & lowlands	People who are poor in spirit
Luk	13	20	According to Luke 13, there are those who are last that will be first, and those who are first that will be what?	30	B	Confused	Last	Disappointed	The most beloved
Luk	13	21	Who, according to some Pharisees in Luke 13, wanted to kill Jesus?	31	D	Pilate	Teachers of the law	Sadducees	Herod
Luk	13	22	What did Jesus call Herod?	32	B	A large fish	A fox	A snake	A buzzard
Luk	13	23	Upon what day did Jesus say He would finish His course?	32	C	The first	The second	The third	The fourth
Luk	13	24	What did Jesus say that no prophet should surely do?	33	D	Tell a lie	Live by the gates of Jerusalem	Fall from grace	Perish away from Jerusalem
Luk	13	25	Who did Jesus say stoned those who were sent to them?	34	C	The prophets of old	The sons of Solomon	Jerusalem	The Pharisees
Luk	14	1	Where was Jesus when He healed the man who had dropsy?	1-2	C	He was in the street	He was in the temple	He was in the house of the ruler of the Pharisees	He was in the synagogue
Luk	14	2	On which day did Jesus heal the man who had dropsy?	1	B	On the day of Pentecost	On the Sabbath	On the last day of the week	On the Passover
Luk	14	3	What was the answer when Jesus asked the question, "Is it lawful to heal on the Sabbath?"	3-4	D	They said, "No".	They said, "Yes".	They carefully answered, "We do not know".	They remained silent
Luk	14	4	Who remained silent when Jesus asked, “Is it lawful to heal on the Sabbath, or not?”	3-4	B	The Twelve	lawyers and Pharisees	A paralyzed man	A man with an evil spirit
Luk	14	5	What kind of ‘work’ does Jesus say the lawyers and Pharisees would do on the Sabbath?”	5	A	Help an ox that has fallen in a well	Prepare dinner	Make his bed	Tie his sandals
Luk	14	6	What prompted Jesus to tell a parable about a wedding feast?	7	D	Some guests refused to sit at the tables	The Pharisee’s son was getting married	The Pharisee’s daughter was getting married	Some guests had chosen places of honor at the table
Luk	14	7	Why should one not take the place of honor at a feast?	8-9	C	It is because the important seat is for the king	It is because every important seat is for God to occupy	It is because it will be shameful to be told to take a lower place	It is because doing so shows good manners
Luk	14	8	According to the parable of the wedding feast, where should one sit at a wedding feast?	10	D	A place near family members	A place by the host	The highest place	The lowest place
Luk	14	9	What might a host say to show honor to a person sitting in the lowest place at a wedding feast?	10	B	“Friend, the least shall be first”	“Friend, move up higher”	“Friend, you shall be served first!”	“Friend, the Lord will bless you!”
Luk	14	10	What will happen to all who exalt themselves?	11	A	They will be humbled	They will be blessed	They will also be exalted by their masters	They will be exalted by their friends
Luk	14	11	What advice did Jesus give the man who invited him to dine?	12-13	B	He advised him that he should not despise the poor, the lame, and the needy	He gives a feast, invite the poor, the crippled, the lame	He advise him to seek first the kingdom of God and the righteousness	He advised him that the kingdom of God is not food and drink; but righteousness
Luk	14	12	In chapter 14, what did Jesus tell his host would occur if he invited the poor, crippled, lame, and blind to a banquet?	13-14	D	He would be embarrassed	He would be repaid at the resurrection	He would be blessed	B & C
Luk	14	13	In the parable about the Great Banquet, who was first told that the banquet was ready?	17	D	The poor	The crippled and blind	People on the roads and country lanes	Those who had been invited
Luk	14	14	According to the parable of the Great Banquet, what is the excuse of the first invited guest?	18	A	He said he had bought a field and had to go out and see it	He said he had bought five yoke of oxen and had to go and examine them.	He said he had married a wife and therefore could not come.	He said he was about to take a very important journey.
Luk	14	15	According to the parable of the Great Banquet, what was the excuse of the second invited guest?	19	B	He said he has bought a piece of ground and had to go and see it	He said he had bought five yoke of oxen and had to go examine them	He said he had married a wife and therefore could not come	He said he was about to take a very important journey
Luk	14	16	According to the parable of the Great Banquet, what was the excuse of the third invited guest?	20	C	He said he has bought a piece of ground and had to go and see it.	He said he had bought five yoke of oxen and had to go and examine them.	He said he had married a wife therefore he could not come.	He said he was about to take a very important journey to a distant country.
Luk	14	17	How did the master respond when his invited guests did not attend his banquet?	21	B	Grief-stricken	Angry	Pleased	Confused
Luk	14	18	Since the invited guest could not come what did the master of the banquet do?	21	A	He invited in the poor, the crippled, the blind, and the lame	He was angry with the invited guest and sought to avenge himself on them	He refused to invite anyone to the party	He ate all the food himself
Luk	14	19	Where was the servant told to go to find the poor, the crippled, the blind, and the lame to invite them to the great banquet?	21	C	The synagogue	The city gates	The streets and lanes of the city	The poorest neighborhood in the town
Luk	14	20	Why did the master send his servants to find guests the highways and hedges?	23	B	Such travelers would be hungry	So his house would be filled	His invited guests had leftovers	To punish his servants for not eating at the feast
Luk	14	21	What did Jesus say about one who does not hate his own father, mother, wife, children, brothers, sisters, and even his own life?	26	C	He is blessed for his loving heart	He will have many descendants	He cannot be My disciple	He cannot eat of the feast
Luk	14	22	In an example, Jesus speaks of counting the cost before building what?	28	D	A barn	A road	A house	A tower
Luk	14	23	What will people do if they see that you started a building project but not able to finish it?	28-29	D	They will question you	They will pity you	They will hate you	They will mock you
Luk	14	24	According to Jesus, what should a king do when he does not have a large army to go to war?	31	B	He should employ a smart strategy.	He should sit down and deliberate.	He should build a wall of defense between him and his opponent.	He should pay tribute and be free.
Luk	14	25	For what purpose would a king send a delegation to meet an enemy he was unable to fight?	32	C	To kidnap their children and hold them for ransom	To surrender	To ask for terms of peace	To lie about the number of troops he had
Luk	14	26	Who did Jesus say cannot be His disciples in Luke 14?	33	C	Those who could not be healed	Those who had evil spirits	Those who does not renounce all that he has	Those who gave up everything
Luk	14	27	What is done with salt that loses its saltiness?	35	B	It is mixed with salty salt	It is thrown away	It is added to food in larger quantities	It is frozen
Luk	15	1	Who gathered around to hear Jesus in the beginning of Luke 15?	1	B	Scribes and Pharisees	Tax collectors and sinners	Teachers of the law	His apostles
Luk	15	2	According to Luke 15, why did the Pharisees and the scribes grumble against Jesus?	2	A	It was because Jesus received sinners and eats with them.	It was because Jesus told them that they were hypocrites.	It was because Jesus told His disciples to beware of the yeast of the Pharisees and the scribes.	It was because Jesus healed someone on the Sabbath day.
Luk	15	3	What moved Jesus to say the parable of the lost sheep?	1-3	B	He was moved to say it because the Sadducees had falsely accused Him.	Because the Pharisees and scribes grumble about Him eating with sinners.	He was moved to say it because they were mocking Him.	He was moved to say it because He wanted to teach about the importance of parables.
